time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1727242351470493164,0.656,0.0,0.0,0.0,0.0,0.0
1727242351486416625,0.64,0.0,0.0,0.0,0.0,0.0
1727242351502504691,0.624,0.0,0.0,0.0,0.0,0.0
1727242351510336439,0.624,0.0,0.0,0.0,0.0,0.0
1727242351514403275,0.608,0.0,0.0,0.0,0.0,0.0
1727242351530442433,0.592,0.0,0.0,0.0,0.0,0.0
1727242351546559318,0.568,0.0,0.0,0.0,0.0,0.0
1727242351566587556,0.544,0.0,0.0,0.0,0.0,0.0
1727242351578650563,0.528,0.0,0.0,0.0,0.0,0.0
1727242351598625440,0.512,0.0,0.0,0.0,0.0,0.0
1727242351610498116,0.512,0.0,0.0,0.0,0.0,0.0
1727242351610790597,0.496,0.0,0.0,0.0,0.0,0.0
1727242351626537279,0.481,0.0,0.0,0.0,0.0,0.0
1727242351642542887,0.465,0.0,0.0,0.0,0.0,0.0
1727242351654729652,0.449,0.0,0.0,0.0,0.0,0.0
1727242351674683027,0.433,0.0,0.0,0.0,0.0,0.0
1727242351690678316,0.417,0.0,0.0,0.0,0.0,0.0
1727242351706698638,0.401,0.0,0.0,0.0,0.0,0.0
1727242351710755592,0.401,0.0,0.0,0.0,0.0,0.0
1727242351730736251,0.385,0.0,0.0,0.0,0.0,0.0
1727242351738637802,0.369,0.0,0.0,0.0,0.0,0.0
1727242351750689681,0.353,0.0,0.0,0.0,0.0,0.0
1727242351766785397,0.337,0.0,0.0,0.0,0.0,0.0
1727242351778754575,0.321,0.0,0.0,0.0,0.0,0.0
1727242351802757021,0.305,0.0,0.0,0.0,0.0,0.0
1727242351810622511,0.305,0.0,0.0,0.0,0.0,0.0
1727242351818676525,0.289,0.0,0.0,0.0,0.0,0.0
1727242351830799841,0.273,0.0,0.0,0.0,0.0,0.0
1727242351846714997,0.258,0.0,0.0,0.0,0.0,0.0
1727242351862801173,0.242,0.0,0.0,0.0,0.0,0.0
1727242351874767016,0.226,0.0,0.0,0.0,0.0,0.0
1727242351890822354,0.21,0.0,0.0,0.0,0.0,0.0
1727242351906962845,0.194,0.0,0.0,0.0,0.0,0.0
1727242351910727262,0.194,0.0,0.0,0.0,0.0,0.0
1727242351923010440,0.178,0.0,0.0,0.0,0.0,0.0
1727242351939019472,0.162,0.0,0.0,0.0,0.0,0.0
1727242351950872887,0.146,0.0,0.0,0.0,0.0,0.0
1727242351979032867,0.13,0.0,0.0,0.0,0.0,0.0
1727242351986856264,0.114,0.0,0.0,0.0,0.0,0.0
1727242352007167201,0.098,0.0,0.0,0.0,0.0,0.0
1727242352010366759,0.098,0.0,0.0,0.0,0.0,0.0
1727242352019035257,0.082,0.0,0.0,0.0,0.0,0.0
1727242352039117214,0.066,0.0,0.0,0.0,0.0,0.0
1727242352059052209,0.058,0.0,0.0,0.0,0.0,0.0
1727242352066980588,0.042,0.0,0.0,0.0,0.0,0.0
1727242352083149608,0.027,0.0,0.0,0.0,0.0,0.0
1727242352099159793,0.019,0.0,0.0,0.0,0.0,0.0
1727242352110923606,0.019,0.0,0.0,0.0,0.0,0.0
1727242352119154998,0.003,0.0,0.0,0.0,0.0,0.0
1727242352127352665,-0.013,0.0,0.0,0.0,0.0,0.0
1727242352147402481,-0.029,0.0,0.0,0.0,0.0,0.0
1727242352159433981,-0.037,0.0,0.0,0.0,0.0,0.0
1727242352179373378,-0.053,0.0,0.0,0.0,0.0,0.0
1727242352195253257,-0.061,0.0,0.0,0.0,0.0,0.0
1727242352207209746,-0.077,0.0,0.0,0.0,0.0,0.0
1727242352210995663,-0.077,0.0,0.0,0.0,0.0,0.0
1727242352223286598,-0.085,0.0,0.0,0.0,0.0,0.0
1727242352251600296,-0.101,0.0,0.0,0.0,0.0,0.0
1727242352259364294,-0.109,0.0,0.0,0.0,0.0,0.0
1727242352271394900,-0.125,0.0,0.0,0.0,0.0,0.0
1727242352291439684,-0.141,0.0,0.0,0.0,0.0,0.0
1727242352299466364,-0.149,0.0,0.0,0.0,0.0,0.0
1727242352311174798,-0.149,0.0,0.0,0.0,0.0,0.0
1727242352319594286,-0.157,0.0,0.0,0.0,0.0,0.0
1727242352335502364,-0.173,0.0,0.0,0.0,0.0,0.0
1727242352351542656,-0.181,0.0,0.0,0.0,0.0,0.0
1727242352367447725,-0.196,0.0,0.0,0.0,0.0,0.0
1727242352379526772,-0.204,0.0,0.0,0.0,0.0,0.0
1727242352395481785,-0.212,0.0,0.0,0.0,0.0,0.0
1727242352410803317,-0.212,0.0,0.0,0.0,0.0,0.0
1727242352411367442,-0.22,0.0,0.0,0.0,0.0,0.0
1727242352427519667,-0.228,0.0,0.0,0.0,0.0,0.0
1727242352439568588,-0.244,0.0,0.0,0.0,0.0,0.0
1727242352463554199,-0.252,0.0,0.0,0.0,0.0,0.0
1727242352471592415,-0.26,0.0,0.0,0.0,0.0,0.0
1727242352491554918,-0.268,0.0,0.0,0.0,0.0,0.0
1727242352510517818,-0.268,0.0,0.0,0.0,0.0,0.0
1727242352539637304,-0.276,0.0,0.0,0.0,0.0,0.0
1727242352567851764,-0.284,0.0,0.0,0.0,0.0,0.0
1727242352583821956,-0.292,0.0,0.0,0.0,0.0,0.0
1727242352599702030,-0.3,0.0,0.0,0.0,0.0,0.0
1727242352610588078,-0.3,0.0,0.0,0.0,0.0,0.0
1727242352710836560,-0.3,0.0,0.0,0.0,0.0,0.0
1727242352727848908,-0.292,0.0,0.0,0.0,0.0,0.0
1727242352739919644,-0.284,0.0,0.0,0.0,0.0,0.0
1727242352772139342,-0.268,0.0,0.0,0.0,0.0,0.0
1727242352783962190,-0.228,0.0,0.0,0.0,0.0,0.0
1727242352804130287,-0.204,0.0,0.0,0.0,0.0,0.0
1727242352811008832,-0.204,0.0,0.0,0.0,0.0,0.0
1727242352820004925,-0.173,0.0,0.0,0.0,0.0,0.0
1727242352836029940,-0.141,0.0,0.0,0.0,0.0,0.0
1727242352852039911,-0.101,0.0,0.0,0.0,0.0,0.0
1727242352868071339,-0.069,0.0,0.0,0.0,0.0,0.0
1727242352880137121,-0.021,0.0,0.0,0.0,0.0,0.0
1727242352896260387,0.019,0.0,0.0,0.0,0.0,0.0
1727242352911095726,0.019,0.0,0.0,0.0,0.0,0.0
1727242352920152464,0.058,0.0,0.0,0.0,0.0,0.0
1727242352932290283,0.098,0.0,0.0,0.0,0.0,0.0
1727242352952141381,0.146,0.0,0.0,0.0,0.0,0.0
1727242352960167768,0.186,0.0,0.0,0.0,0.0,0.0
1727242352980384842,0.234,0.0,0.0,0.0,0.0,0.0
1727242352992138080,0.273,0.0,0.0,0.0,0.0,0.0
1727242353010812139,0.273,0.0,0.0,0.0,0.0,0.0
1727242353012170803,0.313,0.0,0.0,0.0,0.0,0.0
1727242353024074124,0.353,0.0,0.0,0.0,0.0,0.0
1727242353048216781,0.401,0.0,0.0,0.0,0.0,0.0
1727242353056060961,0.433,0.0,0.0,0.0,0.0,0.0
1727242353072238952,0.473,0.0,0.0,0.0,0.0,0.0
1727242353088160937,0.504,0.0,0.0,0.0,0.0,0.0
1727242353104441516,0.536,0.0,0.0,0.0,0.0,0.0
1727242353111030223,0.536,0.0,0.0,0.0,0.0,0.0
1727242353124302112,0.576,0.0,0.0,0.0,0.0,0.0
1727242353132185986,0.616,0.0,0.0,0.0,0.0,0.0
1727242353152297879,0.664,0.0,0.0,0.0,0.0,0.0
1727242353168374348,0.704,0.0,0.0,0.0,0.0,0.0
1727242353184513894,0.735,0.0,0.0,0.0,0.0,0.0
1727242353200358210,0.767,0.0,0.0,0.0,0.0,0.0
1727242353211087967,0.767,0.0,0.0,0.0,0.0,0.0
1727242353216292133,0.799,0.0,0.0,0.0,0.0,0.0
1727242353228339852,0.831,0.0,0.0,0.0,0.0,0.0
1727242353244540447,0.855,0.0,0.0,0.0,0.0,0.0
1727242353276512159,0.879,0.0,0.0,0.0,0.0,0.0
1727242353284439079,0.895,0.0,0.0,0.0,0.0,0.0
1727242353304631810,0.911,0.0,0.0,0.0,0.0,0.0
1727242353310263967,0.911,0.0,0.0,0.0,0.0,0.0
