time,velocity_x,acceleration
358.8314034938812,21.328125,0.401
358.84391021728516,21.317274305555554,0.377
358.86343359947205,21.317274305555554,0.353
358.8715522289276,21.319444444444443,0.329
358.89160084724426,21.33246527777778,0.305
358.907231092453,21.34331597222222,0.281
358.9240288734436,21.34548611111111,0.281
358.92708253860474,21.34548611111111,0.265
358.9391665458679,21.34548611111111,0.242
358.95113348960876,21.360677083333332,0.218
358.96710729599,21.36935763888889,0.202
358.98387360572815,21.40625,0.186
358.99998211860657,21.40625,0.17
359.01552081108093,21.42361111111111,0.154
359.0243561267853,21.395399305555554,0.154
359.02704334259033,21.395399305555554,0.138
359.05126428604126,21.40407986111111,0.13
359.06315422058105,21.40407986111111,0.122
359.0793294906616,21.419270833333332,0.114
359.0953507423401,21.436631944444443,0.106
359.1113245487213,21.44314236111111,0.09
359.12337374687195,21.451822916666668,0.082
359.1253619194031,21.451822916666668,0.082
359.13932633399963,21.451822916666668,0.066
359.15527606010437,21.44097222222222,0.05
359.1753029823303,21.475694444444443,0.035
359.18376541137695,21.48003472222222,0.019
359.1995255947113,21.48003472222222,0.003
359.21556997299194,21.48003472222222,-0.013
359.22402930259705,21.48003472222222,-0.013
359.23121428489685,21.48003472222222,-0.029
359.24720311164856,21.50390625,-0.045
359.27951288223267,21.5234375,-0.061
359.2913374900818,21.52777777777778,-0.077
359.2991704940796,21.52777777777778,-0.093
359.3113372325897,21.532118055555554,-0.101
359.3238775730133,21.512586805555554,-0.101
359.3310868740082,21.512586805555554,-0.109
359.4241409301758,21.555989583333332,-0.109
359.5074179172516,21.56032986111111,-0.101
359.51526927948,21.56032986111111,-0.093
359.5239279270172,21.573350694444443,-0.093
359.53936219215393,21.573350694444443,-0.085
359.5474841594696,21.58203125,-0.069
359.56746435165405,21.569010416666668,-0.061
359.5835509300232,21.56467013888889,-0.053
359.5994074344635,21.56467013888889,-0.037
359.6115162372589,21.575520833333332,-0.021
359.6241104602814,21.58637152777778,-0.021
359.62760376930237,21.58637152777778,-0.005
359.6477720737457,21.58420138888889,0.011
359.66752910614014,21.56467013888889,0.027
359.6795938014984,21.56467013888889,0.042
359.6874134540558,21.56684027777778,0.066
359.7076349258423,21.590711805555554,0.082
359.7238655090332,21.575520833333332,0.098
359.72862434387207,21.575520833333332,0.098
359.73953223228455,21.575520833333332,0.114
359.7554988861084,21.53862847222222,0.122
359.7672429084778,21.551649305555554,0.138
359.79548692703247,21.569010416666668,0.154
359.8039810657501,21.58420138888889,0.17
359.8155963420868,21.58420138888889,0.178
359.82415771484375,21.57986111111111,0.178
359.9244658946991,21.553819444444443,0.178
360.0078434944153,21.58637152777778,0.17
360.0249891281128,21.56032986111111,0.17
360.0361864566803,21.56032986111111,0.162
360.0520281791687,21.56684027777778,0.154
360.0682804584503,21.595052083333332,0.146
360.0837252140045,21.595052083333332,0.138
360.1001343727112,21.588541666666668,0.13
360.11195516586304,21.58637152777778,0.122
360.12418961524963,21.551649305555554,0.122
360.12743496894836,21.551649305555554,0.114
360.143404006958,21.551649305555554,0.106
360.17162466049194,21.58420138888889,0.098
360.18766808509827,21.57986111111111,0.082
360.2077171802521,21.54730902777778,0.074
360.2240812778473,21.56032986111111,0.058
360.2267518043518,21.56032986111111,0.058
360.23961901664734,21.56032986111111,0.05
360.2560176849365,21.575520833333332,0.035
360.2761037349701,21.56684027777778,0.027
360.307829618454,21.549479166666668,0.011
360.31956124305725,21.549479166666668,-0.005
360.3241722583771,21.5625,-0.005
360.3273777961731,21.5625,-0.013
360.33967542648315,21.5625,-0.021
360.34744930267334,21.553819444444443,-0.037
360.36397910118103,21.553819444444443,-0.053
360.37997102737427,21.571180555555554,-0.069
360.39589405059814,21.573350694444443,-0.085
360.41617012023926,21.5625,-0.101
360.4235506057739,21.5625,-0.101
360.42610812187195,21.54296875,-0.117
360.44002509117126,21.54296875,-0.133
360.4600088596344,21.555989583333332,-0.149
360.4756016731262,21.58637152777778,-0.165
