Car.CFL.Tire.FrcC.x,Car.CFL.Tire.FrcC.y,Car.CFL.Tire.FrcC.z,Car.CFR.Tire.FrcC.x,Car.CFR.Tire.FrcC.y,Car.CFR.Tire.FrcC.z,Car.CRL.Tire.FrcC.x,Car.CRL.Tire.FrcC.y,Car.CRL.Tire.FrcC.z,Car.CRR.Tire.FrcC.x,Car.CRR.Tire.FrcC.y,Car.CRR.Tire.FrcC.z,Car.LongSlipFL,Car.LongSlipFR,Car.LongSlipRL,Car.LongSlipRR,Car.SlipAngleFL,Car.SlipAngleFR,Car.SlipAngleRL,Car.SlipAngleRR,Car.Yaw,Car.YawRate,Car.ax,Car.ay,Car.az,Car.vx,Car.vy,Car.vz,DM.Gas,Driver.Gas,Steer.WhlAng,Time,Vhcl.FL.rotv,Vhcl.FL.rz,Vhcl.FR.rotv,Vhcl.FR.rz,Vhcl.RL.rotv,Vhcl.RL.rz,Vhcl.RR.rotv,Vhcl.RR.rz
C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1
N,N,N,N,N,N,N,N,N,N,N,N,,,,,rad,rad,rad,rad,rad,rad/s,m/s^2,m/s^2,m/s^2,m/s,m/s,m/s,,,rad,s,rad/s,rad,rad/s,rad,rad/s,rad,rad/s,rad
167.4078064,668.0415649,5775.534668,184.9063568,-325.9697571,6055.36377,515.6221313,43.64733505,4123.692871,481.9561768,170.2446442,4365.880371,-0.0004098207573,-0.000414748356,0.004471510183,0.004273375962,-0.00203746208,-0.0009961891919,0.001097935601,-0.003154590027,2.26741147,-9.589002002E-05,0.5358301997,0.05447778851,0.001613558619,0.1126919016,-0.002249904443,0.002057988662,0,0,3.933475455E-05,0.211,0.3409831226,-0.002237654524,0.3431511521,0.002092369366,0.4885103703,-0.003000000026,0.476677984,0.003000000026
167.710083,638.3202515,5785.212402,185.2921295,-297.1261902,6062.839355,516.2340698,72.82361603,4115.714355,482.4208374,140.4545441,4357.324707,-0.0004099272774,-0.0004148460866,0.004477011506,0.004277275875,-0.001762180356,-0.001251662849,0.0007971165469,-0.002854995197,2.267410755,-7.991192979E-05,0.5353745222,0.05359397456,0.0007429647376,0.1180392206,-0.001709001954,0.002103943843,0,0,3.933475455E-05,0.221,0.3567948341,-0.002244158182,0.3583063185,0.002094276948,0.5033501983,-0.003000000026,0.4930167496,0.003000000026
168.0577087,607.567627,5796.142578,185.6086273,-268.2311707,6069.862793,516.8233032,101.2500305,4108.225098,483.0639343,110.8317795,4348.019531,-0.0004100514343,-0.0004149642482,0.004482075572,0.004281809088,-0.00148364366,-0.001502156374,0.0005144046736,-0.00256740232,2.26741004,-6.682753883E-05,0.5348744392,0.05185715854,0.0002686622611,0.1233814284,-0.001181972213,0.002145576058,0,0,3.933475455E-05,0.231,0.3727916181,-0.002249044366,0.3736522496,0.002095851814,0.5182589293,-0.003000000026,0.5094423294,0.003000000026
168.4448547,576.4619751,5807.94873,185.8612823,-239.8946228,6076.232422,517.3202515,127.9175415,4101.484375,483.8057251,82.38827515,4338.32959,-0.0004101658415,-0.0004150336317,0.004486574791,0.004286843352,-0.001207955298,-0.001743143192,0.0002585402399,-0.002301031025,2.267409325,-5.670616883E-05,0.5343189836,0.04932627827,0.0001924381068,0.1287182868,-0.0006769999163,0.00218533515,0,0,3.933475455E-05,0.241,0.3889669478,-0.002252422506,0.3891939819,0.002097183373,0.5332419276,-0.003000000026,0.5259322524,0.003000000026
168.8651276,545.6685181,5820.277344,186.0484009,-212.6424103,6081.787109,517.7368774,152.0112305,4095.700195,484.649292,56.05155563,4328.562012,-0.0004103126121,-0.0004150605528,0.004490502644,0.00429257378,-0.0009400466224,-0.001970288577,3.71189999E-05,-0.002064718399,2.267408848,-4.951307346E-05,0.5338783264,0.04635107517,-0.0003191533615,0.134049803,-0.0002013435587,0.002225716366,0,0,3.933475455E-05,0.251,0.4053064287,-0.002254420659,0.4049294293,0.002098358935,0.5483028293,-0.003000000026,0.5424657464,0.003000000026
169.2872009,515.3885498,5832.821289,186.1544495,-187.3420105,6086.383301,518.0913696,171.6908264,4090.927979,485.7888489,34.18374252,4317.927734,-0.0004105895932,-0.0004150781606,0.004493856803,0.004299981985,-0.0006770439795,-0.002171755303,-0.0001083178504,-0.00190238154,2.267408371,-4.753680332E-05,0.533277154,0.04228682443,-0.0003590663255,0.1393764019,0.0002382797247,0.002260725945,0,0,3.933475455E-05,0.261,0.4218123257,-0.00225518737,0.4208703637,0.002099456498,0.5634227991,-0.003000000026,0.5588288307,0.003000000026
169.6660156,486.0041809,5844.864746,186.2223969,-163.7126312,6089.989258,518.2697144,185.5966034,4087.505127,486.7644958,16.86266899,4307.333496,-0.0004111759481,-0.0004149840388,0.004496084061,0.004307506606,-0.0004219115945,-0.00237173168,-0.0002069958864,-0.001768510439,2.267407894,-5.086378951E-05,0.5326501131,0.03721246123,-0.0005029645399,0.1446981281,0.0006328357267,0.002291402314,0,0,3.933475455E-05,0.271,0.4385071695,-0.002254858147,0.4369854033,0.002100542188,0.5786417723,-0.003000000026,0.5752609372,0.003000000026
170.115387,456.8411255,5855.588379,186.2593384,-140.1322479,6092.796387,518.3406372,196.1736908,4085.550049,487.7655029,3.27812624,4297.578613,-0.0004108126159,-0.0004148552835,0.004497050773,0.004314589314,-0.0001734389662,-0.002578091109,-0.0002849782759,-0.001665052958,2.267407417,-5.78348845E-05,0.5322040915,0.03259662166,-0.0002580522851,0.1500155628,0.0009786105948,0.002317451872,0,0,3.933475455E-05,0.281,0.4553955495,-0.002253434155,0.4532437921,0.002101683756,0.593932569,-0.003000000026,0.5917537808,0.003000000026
170.5869751,429.8293457,5865.556152,186.2425385,-117.7911911,6094.830078,518.2929688,202.9871979,4085.002686,488.7442627,-7.52438736,4288.860352,-0.0004105335101,-0.0004147723084,0.004497129004,0.004321214277,4.047882248E-05,-0.002752391156,-0.0003172201396,-0.001586889965,2.267406702,-6.45612381E-05,0.5317876935,0.02773785777,0.000693050737,0.1553295255,0.001277631614,0.002346163383,0,0,3.933475455E-05,0.291,0.4723159075,-0.002251070924,0.4696418941,0.002102947095,0.6092948318,-0.003000000026,0.6082507968,0.003000000026
171.0491638,405.780304,5875.057129,186.171524,-98.84953308,6095.906738,518.1194458,206.311554,4085.736816,489.6564026,-14.71300507,4281.313965,-0.0004104403779,-0.0004146284773,0.004496044945,0.004327266943,0.000226210148,-0.002885116497,-0.0003173020668,-0.00155420939,2.267405987,-6.757499068E-05,0.5314112902,0.0229613632,0.002049943898,0.160640642,0.001528249006,0.002381867962,0,0,3.933475455E-05,0.301,0.4892225266,-0.002248023869,0.4861828983,0.002104368759,0.6247048378,-0.003000000026,0.6247222424,0.003000000026
